Month,Product_ID,Planned_Production,Actual_Production,Rejected_Units,Production_Cost
2025-01,P101,1250,1220,24,79300.00
2025-01,P102,2300,2250,45,67500.00
2025-01,P103,500,460,28,96600.00
2025-01,P104,1850,1810,36,81450.00
2025-01,P105,3200,3150,31,56700.00
2025-01,P106,1600,1550,23,38750.00
2025-02,P101,1200,1180,21,76700.00
2025-02,P102,2200,2150,43,64500.00
2025-02,P103,500,470,30,98700.00
2025-02,P104,1800,1780,32,80100.00
2025-02,P105,3300,3280,33,59040.00
2025-02,P106,1500,1480,22,37000.00
2025-03,P101,1300,1290,23,83850.00
2025-03,P102,2350,2310,42,69300.00
2025-03,P103,450,430,26,90300.00
2025-03,P104,1900,1880,35,84600.00
2025-03,P105,3100,3050,30,54900.00
2025-03,P106,1650,1620,24,40500.00
2025-04,P101,1400,1380,25,89700.00
2025-04,P102,2450,2400,48,72000.00
2025-04,P103,500,480,31,100800.00
2025-04,P104,2000,1970,38,88650.00
2025-04,P105,3400,3350,34,60300.00
2025-04,P106,1700,1680,25,42000.00
2025-05,P101,1350,1340,22,87100.00
2025-05,P102,2400,2380,46,71400.00
2025-05,P103,500,490,32,102900.00
2025-05,P104,1950,1920,36,86400.00
2025-05,P105,3500,3480,35,62640.00
2025-05,P106,1650,1630,24,40750.00
2025-06,P101,1500,1460,26,94900.00
2025-06,P102,2500,2450,49,73500.00
2025-06,P103,500,470,30,98700.00
2025-06,P104,2100,2050,40,92250.00
2025-06,P105,3600,3550,36,63900.00
2025-06,P106,1800,1760,26,44000.00
2025-07,P101,1550,1520,27,98800.00
2025-07,P102,2550,2500,50,75000.00
2025-07,P103,500,480,33,100800.00
2025-07,P104,2150,2100,41,94500.00
2025-07,P105,3700,3650,37,65700.00
2025-07,P106,1850,1800,27,45000.00
2025-08,P101,1550,1530,25,99450.00
2025-08,P102,2550,2520,48,75600.00
2025-08,P103,500,485,31,101850.00
2025-08,P104,2150,2120,39,95400.00
2025-08,P105,3700,3660,36,65880.00
2025-08,P106,1850,1820,26,45500.00
2025-09,P101,1450,1420,24,92300.00
2025-09,P102,2450,2400,45,72000.00
2025-09,P103,480,450,29,94500.00
2025-09,P104,2050,2010,38,90450.00
2025-09,P105,3550,3500,35,63000.00
2025-09,P106,1750,1710,25,42750.00
2025-10,P101,1600,1580,27,102700.00
2025-10,P102,2600,2550,51,76500.00
2025-10,P103,500,480,32,100800.00
2025-10,P104,2200,2150,42,96750.00
2025-10,P105,3800,3750,38,67500.00
2025-10,P106,1900,1850,27,46250.00
2025-11,P101,1700,1650,29,107250.00
2025-11,P102,2700,2650,53,79500.00
2025-11,P103,500,470,33,98700.00
2025-11,P104,2300,2200,44,99000.00
2025-11,P105,4000,3900,39,70200.00
2025-11,P106,2000,1950,29,48750.00
2025-12,P101,1800,1750,31,113750.00
2025-12,P102,2800,2700,55,81000.00
2025-12,P103,500,460,34,96600.00
2025-12,P104,2400,2300,46,103500.00
2025-12,P105,4100,4000,40,72000.00
2025-12,P106,2100,2000,30,50000.00
