Month,Production_Line,Available_Capacity,Planned_Production,Actual_Production
2025-01,Line 1 - Smart Electronics,4000,3550,3470
2025-01,Line 2 - Heavy Controls,1200,500,460
2025-01,Line 3 - Assembly & Power,7000,6650,6510
2025-02,Line 1 - Smart Electronics,4000,3400,3330
2025-02,Line 2 - Heavy Controls,1200,500,470
2025-02,Line 3 - Assembly & Power,7000,6600,6540
2025-03,Line 1 - Smart Electronics,4000,3650,3600
2025-03,Line 2 - Heavy Controls,1200,450,430
2025-03,Line 3 - Assembly & Power,7000,6650,6550
2025-04,Line 1 - Smart Electronics,4000,3850,3780
2025-04,Line 2 - Heavy Controls,1200,500,480
2025-04,Line 3 - Assembly & Power,7000,7100,7000
2025-05,Line 1 - Smart Electronics,4000,3750,3720
2025-05,Line 2 - Heavy Controls,1200,500,490
2025-05,Line 3 - Assembly & Power,7000,7100,7030
2025-06,Line 1 - Smart Electronics,4000,4000,3910
2025-06,Line 2 - Heavy Controls,1200,500,470
2025-06,Line 3 - Assembly & Power,7000,7500,7360
2025-07,Line 1 - Smart Electronics,4000,4100,4020
2025-07,Line 2 - Heavy Controls,1200,500,480
2025-07,Line 3 - Assembly & Power,7000,7700,7550
2025-08,Line 1 - Smart Electronics,4000,4100,4050
2025-08,Line 2 - Heavy Controls,1200,500,485
2025-08,Line 3 - Assembly & Power,7000,7700,7600
2025-09,Line 1 - Smart Electronics,4000,3900,3820
2025-09,Line 2 - Heavy Controls,1200,480,450
2025-09,Line 3 - Assembly & Power,7000,7350,7220
2025-10,Line 1 - Smart Electronics,4000,4200,4130
2025-10,Line 2 - Heavy Controls,1200,500,480
2025-10,Line 3 - Assembly & Power,7000,7900,7750
2025-11,Line 1 - Smart Electronics,4000,4400,4300
2025-11,Line 2 - Heavy Controls,1200,500,470
2025-11,Line 3 - Assembly & Power,7000,8300,8050
2025-12,Line 1 - Smart Electronics,4000,4600,4450
2025-12,Line 2 - Heavy Controls,1200,500,460
2025-12,Line 3 - Assembly & Power,7000,8600,8300
