Month,Product_ID,Opening_Inventory,Units_Produced,Units_Sold,Closing_Inventory,Safety_Stock,Stockout_Flag
2025-01,P101,1800,1196,1200,1796,300,0
2025-01,P102,2200,2205,2200,2205,400,0
2025-01,P103,900,432,450,882,100,0
2025-01,P104,1500,1774,1800,1474,350,0
2025-01,P105,2600,3119,3100,2619,500,0
2025-01,P106,2200,1527,1500,2227,300,0
2025-02,P101,1796,1159,1150,1805,300,0
2025-02,P102,2205,2107,2100,2212,400,0
2025-02,P103,882,440,480,842,100,0
2025-02,P104,1474,1748,1750,1472,350,0
2025-02,P105,2619,3247,3250,2616,500,0
2025-02,P106,2227,1458,1450,2235,300,0
2025-03,P101,1805,1267,1300,1772,300,0
2025-03,P102,2212,2268,2300,2180,400,0
2025-03,P103,842,404,420,826,100,0
2025-03,P104,1472,1845,1900,1417,350,0
2025-03,P105,2616,3020,3000,2636,500,0
2025-03,P106,2235,1596,1600,2231,300,0
2025-04,P101,1772,1355,1400,1727,300,0
2025-04,P102,2180,2352,2400,2132,400,0
2025-04,P103,826,449,500,775,100,0
2025-04,P104,1417,1932,2000,1349,350,0
2025-04,P105,2636,3316,3400,2552,500,0
2025-04,P106,2231,1655,1700,2186,300,0
2025-05,P101,1727,1318,1350,1695,300,0
2025-05,P102,2132,2334,2350,2116,400,0
2025-05,P103,775,458,510,723,100,0
2025-05,P104,1349,1884,1950,1283,350,0
2025-05,P105,2552,3445,3500,2497,500,0
2025-05,P106,2186,1606,1650,2142,300,0
2025-06,P101,1695,1434,1500,1629,300,0
2025-06,P102,2116,2401,2500,2017,400,0
2025-06,P103,723,440,490,673,100,0
2025-06,P104,1283,2010,2100,1193,350,0
2025-06,P105,2497,3514,3600,2411,500,0
2025-06,P106,2142,1734,1800,2076,300,0
2025-07,P101,1629,1493,1600,1522,300,0
2025-07,P102,2017,2450,2600,1867,400,0
2025-07,P103,673,447,530,590,100,0
2025-07,P104,1193,2059,2200,1052,350,0
2025-07,P105,2411,3613,3800,2224,500,0
2025-07,P106,2076,1773,1900,1949,300,0
2025-08,P101,1522,1505,1550,1477,300,0
2025-08,P102,1867,2472,2550,1789,400,0
2025-08,P103,590,454,520,524,100,0
2025-08,P104,1052,2081,2150,983,350,0
2025-08,P105,2224,3624,3700,2148,500,0
2025-08,P106,1949,1794,1850,1893,300,0
2025-09,P101,1477,1396,1450,1423,300,0
2025-09,P102,1789,2355,2450,1694,400,0
2025-09,P103,524,421,470,475,100,0
2025-09,P104,983,1972,2050,905,350,0
2025-09,P105,2148,3465,3550,2063,500,0
2025-09,P106,1893,1685,1750,1828,300,0
2025-10,P101,1423,1553,1650,1326,300,0
2025-10,P102,1694,2499,2700,1493,400,0
2025-10,P103,475,448,550,373,100,0
2025-10,P104,905,2108,2250,763,350,0
2025-10,P105,2063,3712,3900,1875,500,0
2025-10,P106,1828,1823,1950,1701,300,0
2025-11,P101,1326,1621,1800,1147,300,0
2025-11,P102,1493,2597,2900,1190,400,0
2025-11,P103,373,437,580,230,100,0
2025-11,P104,763,2156,2400,519,350,0
2025-11,P105,1875,3861,4200,1536,500,0
2025-11,P106,1701,1921,2100,1522,300,0
2025-12,P101,1147,1719,2000,866,300,0
2025-12,P102,1190,2645,3100,735,400,0
2025-12,P103,230,426,600,56,100,0
2025-12,P104,519,2254,2600,173,350,0
2025-12,P105,1536,3960,4500,996,500,0
2025-12,P106,1522,1970,2300,1192,300,0
