Month,Product_ID,Demand_Units,Units_Sold,Revenue
2025-01,P101,1200,1200,144000.0
2025-01,P102,2200,2200,121000.0
2025-01,P103,450,450,202500.0
2025-01,P104,1800,1800,162000.0
2025-01,P105,3100,3100,124000.0
2025-01,P106,1500,1500,90000.0
2025-02,P101,1150,1150,138000.0
2025-02,P102,2100,2100,115500.0
2025-02,P103,480,480,216000.0
2025-02,P104,1750,1750,157500.0
2025-02,P105,3250,3250,130000.0
2025-02,P106,1450,1450,87000.0
2025-03,P101,1300,1300,156000.0
2025-03,P102,2300,2300,126500.0
2025-03,P103,420,420,189000.0
2025-03,P104,1900,1900,171000.0
2025-03,P105,3000,3000,120000.0
2025-03,P106,1600,1600,96000.0
2025-04,P101,1400,1400,168000.0
2025-04,P102,2400,2400,132000.0
2025-04,P103,500,500,225000.0
2025-04,P104,2000,2000,180000.0
2025-04,P105,3400,3400,136000.0
2025-04,P106,1700,1700,102000.0
2025-05,P101,1350,1350,162000.0
2025-05,P102,2350,2350,129250.0
2025-05,P103,510,510,229500.0
2025-05,P104,1950,1950,175500.0
2025-05,P105,3500,3500,140000.0
2025-05,P106,1650,1650,99000.0
2025-06,P101,1500,1500,180000.0
2025-06,P102,2500,2500,137500.0
2025-06,P103,490,490,220500.0
2025-06,P104,2100,2100,189000.0
2025-06,P105,3600,3600,144000.0
2025-06,P106,1800,1800,108000.0
2025-07,P101,1600,1600,192000.0
2025-07,P102,2600,2600,143000.0
2025-07,P103,530,530,238500.0
2025-07,P104,2200,2200,198000.0
2025-07,P105,3800,3800,152000.0
2025-07,P106,1900,1900,114000.0
2025-08,P101,1550,1550,186000.0
2025-08,P102,2550,2550,140250.0
2025-08,P103,520,520,234000.0
2025-08,P104,2150,2150,193500.0
2025-08,P105,3700,3700,148000.0
2025-08,P106,1850,1850,111000.0
2025-09,P101,1450,1450,174000.0
2025-09,P102,2450,2450,134750.0
2025-09,P103,470,470,211500.0
2025-09,P104,2050,2050,184500.0
2025-09,P105,3550,3550,142000.0
2025-09,P106,1750,1750,105000.0
2025-10,P101,1650,1650,198000.0
2025-10,P102,2700,2700,148500.0
2025-10,P103,550,550,247500.0
2025-10,P104,2250,2250,202500.0
2025-10,P105,3900,3900,156000.0
2025-10,P106,1950,1950,117000.0
2025-11,P101,1800,1800,216000.0
2025-11,P102,2900,2900,159500.0
2025-11,P103,580,580,261000.0
2025-11,P104,2400,2400,216000.0
2025-11,P105,4200,4200,168000.0
2025-11,P106,2100,2100,126000.0
2025-12,P101,2000,2000,240000.0
2025-12,P102,3100,3100,170500.0
2025-12,P103,600,600,270000.0
2025-12,P104,2600,2600,234000.0
2025-12,P105,4500,4500,180000.0
2025-12,P106,2300,2300,138000.0
